../../instances/bininstances/orders_reparsed/orderpool_1032_parsed.txt   3.8623783019e+03 (gap = 3244.85, 45.66%)
  3.8623783019e+03 (gap = 3244.85, 45.66%)
../../instances/bininstances/orders_reparsed/orderpool_1102_parsed.txt   4.0203082403e+03 (gap = 2938.1, 42.22%)
  4.0203082403e+03 (gap = 2938.1, 42.22%)
../../instances/bininstances/orders_reparsed/orderpool_1103_parsed.txt   2.2734240947e+03 (gap = 3413.75, 60.03%)
  2.2734240947e+03 (gap = 3413.75, 60.03%)
../../instances/bininstances/orders_reparsed/orderpool_1104_parsed.txt   3.6539248332e+03 (gap = 4048.21, 52.56%)
  3.6539248332e+03 (gap = 4048.21, 52.56%)
../../instances/bininstances/orders_reparsed/orderpool_1106_parsed.txt   2.3537436367e+03 (gap = 4280.85, 64.52%)
  2.3537436367e+03 (gap = 4280.85, 64.52%)
../../instances/bininstances/orders_reparsed/orderpool_1107_parsed.txt   3.2894078261e+03 (gap = 2742.67, 45.47%)
  3.2894078261e+03 (gap = 2742.67, 45.47%)
