  3.4532172530e+03 (gap = 3789.9, 52.32%)
../../instances/bininstances/orders_reparsed/orderpool_1102_parsed.txt   4.0242662253e+03 (gap = 2609.35, 39.34%)
  4.0242662253e+03 (gap = 2609.35, 39.34%)
../../instances/bininstances/orders_reparsed/orderpool_1103_parsed.txt   2.5824824722e+03 (gap = 2869.04, 52.63%)
  2.5824824722e+03 (gap = 2869.04, 52.63%)
../../instances/bininstances/orders_reparsed/orderpool_1104_parsed.txt   3.1451676447e+03 (gap = 4274.54, 57.61%)
  3.1451676447e+03 (gap = 4274.54, 57.61%)
../../instances/bininstances/orders_reparsed/orderpool_1106_parsed.txt   3.4352148050e+03 (gap = 3495.51, 50.43%)
  3.4352148050e+03 (gap = 3495.51, 50.43%)
../../instances/bininstances/orders_reparsed/orderpool_1107_parsed.txt   3.1132145035e+03 (gap = 2986.28, 48.96%)
  3.1132145035e+03 (gap = 2986.28, 48.96%)
../../instances/bininstances/rand_orders/order_n10.txt   7.1470034446e+02 (gap = 0.0296555, 0.00%)
  7.1470034446e+02 (gap = 0.0296555, 0.00%)
../../instances/bininstances/rand_orders/order_n11.txt   8.9962000000e+02 (gap = 0, 0.00%)
../../instances/bininstances/rand_orders/order_n12.txt   8.7239000000e+02 (gap = 0, 0.00%)
../../instances/bininstances/rand_orders/order_n13.txt   9.8453000000e+02 (gap = 0, 0.00%)
../../instances/bininstances/rand_orders/order_n14.txt   1.6164900000e+03 (gap = 0, 0.00%)
../../instances/bininstances/rand_orders/order_n15.txt   1.5791355571e+03 (gap = 0.0244429, 0.00%)
  1.5791355571e+03 (gap = 0.0244429, 0.00%)
../../instances/bininstances/rand_orders/order_n16.txt   2.8396600000e+03 (gap = 0, 0.00%)
../../instances/bininstances/rand_orders/order_n17.txt   2.0846200000e+03 (gap = 0, 0.00%)
../../instances/bininstances/rand_orders/order_n18.txt   2.4230689362e+03 (gap = 0.161064, 0.01%)
  2.4230689362e+03 (gap = 0.161064, 0.01%)
../../instances/bininstances/rand_orders/order_n19.txt   2.3579846154e+03 (gap = 0.205385, 0.01%)
  2.3579846154e+03 (gap = 0.205385, 0.01%)
../../instances/bininstances/rand_orders/order_n20.txt   2.8625905882e+03 (gap = 0.219412, 0.01%)
  2.8625905882e+03 (gap = 0.219412, 0.01%)
../../instances/bininstances/rand_orders/order_n21.txt   2.8448500000e+03 (gap = 0.26, 0.01%)
  2.8448500000e+03 (gap = 0.26, 0.01%)
../../instances/bininstances/rand_orders/order_n22.txt   3.2836320000e+03 (gap = 0.328, 0.01%)
  3.2836320000e+03 (gap = 0.328, 0.01%)
../../instances/bininstances/rand_orders/order_n23.txt   3.7615990253e+03 (gap = 0.370975, 0.01%)
  3.7615990253e+03 (gap = 0.370975, 0.01%)
../../instances/bininstances/rand_orders/order_n24.txt   4.2984289844e+03 (gap = 281.671, 6.15%)
  4.2984289844e+03 (gap = 281.671, 6.15%)
../../instances/bininstances/rand_orders/order_n25.txt   4.1002365489e+03 (gap = 869.093, 17.49%)
  4.1002365489e+03 (gap = 869.093, 17.49%)
../../instances/bininstances/rand_orders/order_n26.txt   3.4839113398e+03 (gap = 936.569, 21.19%)
  3.4839113398e+03 (gap = 936.569, 21.19%)
../../instances/bininstances/rand_orders/order_n27.txt   3.5693048519e+03 (gap = 1785.54, 33.34%)
  3.5693048519e+03 (gap = 1785.54, 33.34%)
../../instances/bininstances/rand_orders/order_n28.txt   4.2340165592e+03 (gap = 1372.41, 24.48%)
  4.2340165592e+03 (gap = 1372.41, 24.48%)
../../instances/bininstances/rand_orders/order_n29.txt   3.0451026684e+03 (gap = 3512.82, 53.57%)
  3.0451026684e+03 (gap = 3512.82, 53.57%)
../../instances/bininstances/rand_orders/order_n30.txt   3.1126730743e+03 (gap = 1400.31, 31.03%)
  3.1126730743e+03 (gap = 1400.31, 31.03%)
../../instances/bininstances/rand_orders/order_n31.txt   2.6587829966e+03 (gap = 3585.02, 57.42%)
  2.6587829966e+03 (gap = 3585.02, 57.42%)
../../instances/bininstances/rand_orders/order_n32.txt   1.5789883198e+03 (gap = 6011.68, 79.20%)
  1.5789883198e+03 (gap = 6011.68, 79.20%)
../../instances/bininstances/rand_orders/order_n33.txt   1.9358871752e+03 (gap = 3757.87, 66.00%)
  1.9358871752e+03 (gap = 3757.87, 66.00%)
../../instances/bininstances/rand_orders/order_n34.txt   1.2977212071e+03 (gap = 6102.7, 82.46%)
  1.2977212071e+03 (gap = 6102.7, 82.46%)
../../instances/bininstances/rand_orders/order_n35.txt   4.5166191440e+02 (gap = 8522.2, 94.97%)
  4.5166191440e+02 (gap = 8522.2, 94.97%)
../../instances/bininstances/rand_orders/order_n36.txt   8.4590801044e+02 (gap = 7465.28, 89.82%)
  8.4590801044e+02 (gap = 7465.28, 89.82%)
../../instances/bininstances/rand_orders/order_n37.txt   3.7187500000e-15 (gap = 8805.6, 100.00%)
  3.7187500000e-15 (gap = 8805.6, 100.00%)
../../instances/bininstances/rand_orders/order_n38.txt   2.7665706052e-15 (gap = 11190.3, 100.00%)
  2.7665706052e-15 (gap = 11190.3, 100.00%)
../../instances/bininstances/rand_orders/order_n39.txt   3.0218852560e+02 (gap = 8392.18, 96.52%)
  3.0218852560e+02 (gap = 8392.18, 96.52%)
../../instances/bininstances/rand_orders/order_n40.txt   2.6858450450e+02 (gap = 10040.5, 97.39%)
  2.6858450450e+02 (gap = 10040.5, 97.39%)
